SHIP'S NA,AKA,SHIP'S O,VESSEL TY,YEAR BUIL,WHERE B,DATE LOS,YEAR,MNTH,DAY,LOCATIO,Latitude,Longitude,LATITUDE,LONGITU,CAUSE OF,CONSTRU,FLAG,LENGTH,BEAM,DRAFT,GROSS TO,NET TON,HOME (H,DEPARTU,DESTINAT,MASTER,# CREW,# PASS,LIVES LOS,SHIP VAL,CARGO V,NATURE O,USLSS STA,LOST,PHOTO O,MISC INF,MUSEUM CROSS REFERENCE
Colon (1913),,Isthmian,Steamshi,1899,Philadelp,########,1913,9,20,Monmouth Beach LSS E 1 mi,,,,,Stranded,Steel,,360,50,32.2,5667,4193,"New York,","Cristobal,","New York, NY",,,257,,"$650,000","$600,000",General,Monmout,N,N,Refloated,
Colonel,,,Motor ves,1911,,########,1932,8,17,"Longport, NJ",,,,,Burned,,,,,,37,,,,,,24,,0,,,,,,N,#209015,
Colonel James Page,,,Schooner,,,3/18/1855,1855,3,18,Corsons I,,,39-12-10,74-38-30,Wrecked,,,,,,,,Philadelp,Philadelp,"New York, NY",,5,,,,,Coal,,Y,N,Total loss,
Colonel Rucker,,,Merchant,1862,,10/30/189,1890,10,30,Egg Island Light,,,,,Foundered,,,,,,241,,,,,,,,,,,,,,N,,
Colorado,,,Schooner,,,8/20/1865,1865,8,20,Townsen,30.018097,-95.264128,39-06-30,74-42-00,Grounded,,,,,,,,Philadelp,Philadelp,"New York, NY",,5,,,,,Coal,,Y,N,Total loss,
Columbia #8 (031883),,,Pilot scho,1879,,3/24/1883,1883,3,24,Sandy Hook SE 45 mi,,,,,"Collision w/ ""Rotterdam""",,,,,,,,,,Pilot service,,,,,"$16,000",,,,N,N,Partial damage,
Columbia #8 (121883),,,Pilot scho,1879,,12/2/1883,1883,12,2,Sandy Hook,,,,,"Collision w/ ""Alaska""",,,,,,,,,,Pilot service,,10,,10,"$16,000",,,,Y,N,Sank,
Columbia (1806),,,Merchantman,,,1/4/1806,1806,1,4,Little Egg Harbor,,,,,Lost,,US,,,,,,,"Lisbon, Po","New York,",Lewis,,,,,,,,N,N,,
Columbia (1828),,Red Swall,Packet shi,1821,"New York,",1/17/1828,1828,1,17,Deal Beach,,,,,Grounded,,,123,29.1,14.11,492,,,"London, E","New York, NY",,52,,,,,General,,N,N,Refloated,
Columbia (1912),,,Launch,,,########,1912,9,12,Sandy Hook,,,,,,,,,,,,,,,,,5,,5,$300,,,Sandy Hook,,N,,
Columbus (1852),,,,,,3/15/1852,1852,3,15,Little Egg Harbor Inlet Outer Ba,,,,,Stranded,,,,,,,,,Philadelp,"Boston, MA",,,,0,,,,,,N,,
Columbus (1855),,,Schooner,,,7/21/1855,1855,7,21,Deal Beach,,,,,Stranded,,,,,,,,,Plymouth,"New York, NY",,,,,,,,,Y,N,Total loss,
Colville,,,Schooner,,,1/31/1877,1877,1,31,,,,,,Stranded,,,,,,21,,,,,,,,0,,,,,,N,,
Commack,,Puritan Lu,Schooner,1918,Wilmingt,########,1925,1,20,Sandy Hook,,,,,Stranded,Wood,US,228.6,40,19,1446,1330,"New London, CT",,,W B Alber,10,,0,,"$1,875",Lumber & ties,,N,Y,#216356; Refloated,
Commander,,,Schooner,1863,New Have,12/30/188,1881,12,30,Sandy Hook LSS W 1.5 mi,,,,,Stranded,,,,,,277.27,263.41,"Boston, M",Baltimore,"New York,",Hall,6,,0,"$6,500","$1,400",Coal,Sandy Ho,N,N,#4868; Refloated,
Commerce # 3,,,Pilot boat,,,1/8/1852,1852,1,8,,,,,,Lost,,,,,,,,,,Pilot service,,9,,9,,,,,Y,N,Lost w/ all hands,
Commerce (1841),,,Schooner,,,4/12/1841,1841,4,12,Sandy Hook Light S,,,,,Stranded,,,,,,,,"Wiscasset, ME",,,Hutchings,,,,,,,,N,N,Refloated,
Commerce (1855),,,Brig,,,2/1855,1855,2,,Sandy Hook,,,,,Stranded,,,,,,,,,Philadelp,"Providence, RI",,,,,,,,,,N,,
Commodore (1891),,,Schooner,1860,"Noank, CT",5/31/1891,1891,5,31,Absecon LSS S 2.25 mi,,,,,Stranded,Wood,US,47.6,17,6.6,25.73,24.45,Stoningto,"New York,",Fishing tri,Littlefield,7,,0,"$2,500",$300,Fish,Absecon #,N,Y,#5074; Refloated,
Commodore (1894),,,Schooner,1860,"Noank, CT",2/7/1894,1894,2,7,Little Egg LSS S 1.5 mi,,,,,Grounded,Wood,US,47.6,17,6.6,25.73,24.45,"New York,","New York,",Fishing tri,Peterson,6,,0,"$1,300",$150,Fish,Little Egg,N,Y,#5074; Refloated,
Commodore (1900),,,Schooner,1860,"Noank, CT",6/2/1900,1900,6,2,Five Fathom Bank,,,,,Grounded,Wood,US,47.6,17,6.6,25.73,24.45,Philadelp,Philadelp,Fishing tri,John Ham,8,,0,"$1,000",,,,,Y,#5074,
Commodore Barry,,,Brig,,,3/1807,1807,3,,Delaware Bay,,,,,Grounded,,,,,,,,,,,,,,,,,,,N,N,Refloated,
Commodore T H Alle,,J W Elwell,Ship,1884,Richmond,########,1901,7,18,Sandy Hook,,,,,Stranded;,Wood,US,245.8,41.7,28.3,2390,2216,"Bath, ME","New York,","Yokohama, Japan",,,,,,,"Kerosene, oil, wax",,N,N,#126216; Refloated; Towed to NY,
Commonwealth (18,,George J,Steamshi,1880,,1/2/1882,1882,1,2,Sandy Hook,,,,,Disabled;,Wood,US,,,,299.28,197.47,Philadelp,Philadelp,"New York,",Thomas J,,,0,"$12,000","$10,000",,Sandy Ho,N,N,#125792; Towed to NY,
Commonwealth (18,,George J,Steamshi,1880,,3/4/1883,1883,3,4,Seabright E 1 mi,,,,,Collision,Wood,US,,,,299.28,197.47,Philadelp,Philadelp,"New York,",Thomas J,11,,0,"$20,000","$10,000",200 ton General merchandise,,,N,"#125792; Assisted crew of ""Ariel Patterson""",
Commonwealth (18,,George J,Steamshi,1880,,3/1/1888,1888,3,1,Cape May LSS S .75 mi,,,,,Stranded,Wood,US,,,,299.28,197.47,Philadelp,"New York,",Philadelp,Thomas J,11,,0,"$20,000","$7,000",General,Cape May,N,N,#125792; Refloated,
Commonwealth (18,,George J,Steamshi,1880,,12/29/188,1889,12,29,Townsends Inlet North bar,,,,,Stranded,Wood,US,,,,299.28,197.47,Philadelp,"New York,",Philadelp,W S Wille,11,,0,"$20,000","$14,500",General,Townsen,Y,N,#125792; Total loss,
Compass Rose,,,Motor ves,1964,,8/2/1966,1966,8,2,Atlantic Highlands E 5 mi,,,,,Burned,,,,,,17,,,,,,,,,,,,,,N,#294379,
Concord (1806),,,Ship,,,10/13/180,1806,10,13,Little Egg Harbor,,,,,Stranded,,US,,,,,,,"Salem, MA",,,,,,,,,,Y,N,Total loss,
Concord (1817),,,Schooner,,,10/1817,1817,10,,Cape May,,,,,Stranded,,,,,,,,,"Ocracoke,","New York, NY",,,,,,,,,Y,N,Ship & cargo lost,
Concrete,Dive boat capt nickn,,Concrete vessel,,,,,,,Sandy Ho,34.0377025,-84.4576504,40-26-00,73-58-42 W,,,,,,,,,,,,,,,,,,,Diving wr,Y,N,Unknown,See Misc File Drawer
Conde De,Conda La China,,Schooner,,,10/1851,1851,10,,Long Beach Island,,,,,,,Spain,,,,,,,,,,5,,,,,Hides & tobacco,,Y,N,"Broke up; AKA ""Conda La China""",
Condor,,,Bark,,,9/11/1854,1854,9,11,Highlands,35.0525909,-83.1968173,40-21-00,73-30-00,Leaking badly,,,,,,,,,Philadelp,"Boston, MA",,,,,,,Coal,,,N,,
Condova,,,Schooner,,,5/8/1877,1877,5,8,Cape May Point,,,,,Stranded,,,,,,159,150.47,"Bristol, RI","Bristol, RI",Philadelp,Ryan,9,,0,"$3,500",,In ballast,Cape May,Y,N,#4259; Total loss,
Coney Island,,Crystal Oil,Tanker,1938,Marina Ha,########,1987,9,10,Shark Riv,40.2016834,-74.0751971,40-06-285,73-41-365,Explosive,Steel,US,250,40,32,,,NJ AR,SR,1,,,,,,,,,Y,Y,Sponsor -,See scrapbooks 38 - 43 - Purple Misc
Confidence (1842),,,Schooner,,,12/7/1842,1842,12,7,New Jersey coast,,,,,Wrecked; Abandoned,,,,,,,,,"New York,",Egg Harbo,Sears,3,,0,,,,,,N,,
Confidence (1919),,,Barge,1901,,########,1919,1,26,"Newark, NJ",,,,,Burned,,,,,,163,,,,,,1,,0,,,,,,N,#34413,
Congress (1879),,,Schooner,1866,Rio Grand,7/27/1879,1879,7,27,Townsends Inlet North bar,,,,,Stranded,Wood,US,63.8,21.2,4,36.76,34.92,Bridgeton,Cape May,Philadelp,Leaming,4,,0,"$3,000",$250,Pinewood,Townsen,N,N,#5281; Refloated,
Congress (1894),,,Schooner,1866,Rio Grand,4/16/1894,1894,4,16,Hereford Inlet,,,,,Grounded,Wood,US,63.8,21.2,4,36.76,34.92,Bridgeton,Hogs Islan,"Hereford,",Colwell,3,,0,"$1,000",$400,Oysters,,N,N,#5281; Refloated,
Conquistadore,,A Lauro,Bark,1872,"Sorrento,",6/26/1884,1884,6,26,Barnegat SE 20 mi,,,,,Lost sails in gale,,Italy,,,,624,,"Naples, It","Almeria, I","New York,",Somma,,,,,,,,N,N,,
Constellation (1844),,,Schooner,,,1844,1844,,,At sea,40.5592922,-105.0871974,,,Lost at sea,,,,,,,,Great Egg,Philadelp,Providenc,Smith,,,,,,Coal,,Y,N,Never seen again,
Constellation (1972),,Bernard C,Yacht sail,,,########,1972,5,29,Cape May SE 50 mi,,,,,In distress; lost radio,,,,,,,,,Cape May,Bermuda,Bernard C,5,,1,,,,,N,N,Towed in by USCG,
Constitution (1877),,,Schooner,,,4/1/1877,1877,4,1,Cold Spring Inlet South bar,,,,,Stranded,,,,,,12.92,,Port Repu,Port Repu,"Riverton,",Johnson,3,,0,"$1,000",$300,Guano & f,Two Mile,Y,N,#5980Total loss,
Constitution (1959),,American,Passenger,1951,"Quincy, M",3/1/1959,1959,3,1,Squan Inlet S 5 mi,,,,,"Collision w/ ""Jalanta",,US,637.8,89.2,38,23719,11166,"New York,",Newport,"New York,",James W L,116,0,0,,,,USCG Cape May,,N,"#262027; ""Jalanta"" sliced in two; both floating",
Content,,,Brig,,,9/8/1769,1769,9,8,Cape May,,,,,Stranded,,,,,,,,,Philadelp,Barbados,Featherstone,,,,,,,,,N,Crew saved,
Continent,,,Freighter,,,########,1942,1,11,Seabright,40.3614987,-73.9740262,40-21-24,73-49-24,"Collision w/ ""Byron D Benson""",,,,,,468,,,,,,,,1,,,,,Y,Y,Sank; Total loss,
Convoy,,,Barge,1914,,########,1953,10,21,"New Gretna,",,,,,Burned,,,,,,332,,,,,,,,,,,,,,N,,
Conway Brothers,,,Merchant,1896,,########,1944,6,29,Bayonne,40.6687141,-74.1143091,,,Burned,,,,,,41,,,,,,,,,,,,,,N,#77237,
Coquette,,L R Smoot,Steamshi,1863,,3/22/1868,1868,3,22,Little Egg Harbor,,,,,Stranded in gale,,,,,10,221,,Baltimore,Philadelp,"New York,",Freeman,13,,,"$150,000",,,,Y,N,Ship lost; cargo saved,
Cora (1855),,,Schooner,,,4/1855,1855,4,,Cape May Light,,,,,Grounded,,,,,,,,,Philadelp,"Roxbury, MA",,,,,,,,,,N,,
Cora (1875),,,Schooner,,,11/8/1875,1875,11,8,Squan Beach,,,,,Leaking badly; Grounded,,,,,,52.17,,Tuckerton,Egg Harbo,"New York,",McKeen,5,,0,"$16,000",$400,Hop poles,Swan Poi,Y,N,#4524; Total loss,
Cora A Lindsey,,,Schooner,,,1/21/1855,1855,1,21,Squan Inlet S 6.5 mi,,,,,Stranded,,,,,,,,,New Bern,"New York,",Day,,,0,,,Terpentine; reson,,Y,N,Total loss,
Cora Jean Snow,,Borden Co,Motor ves,1953,St Augusti,########,1972,1,21,Hereford Inlet,,,,,Foundere,Wood,US,61.6,18.4,8.5,64,30,Philadelp,Philadelp,Fishing service,,,,,,,,,Y,Y,#266920; Total loss,
Corbella (1857),,,Schooner,,,12/18/185,1857,12,18,Shark Riv,40.2016834,-74.0751971,40-11-15,74-00-00,Stranded,,Spain,,,,,,,,,,12,,,,,,,,N,,
Cord,,,Schooner,,,,,,,Squan Inlet S 5.5 mi,,,,,Lost,,,,,,,,,,,,,,,,,,,Y,N,,
Cordela Newkirk,,John Hunt,Schooner,1860,Nacote Cr,12/17/187,1877,12,17,Barnegat SE 40 mi,,,,,Dismaste,Wood,US,109.3,28.4,8.5,201.27,191.21,Philadelp,Virginia,"New York,",P C Huntl,7,0,0,"$8,000",$800,150 tons pinewood,,N,N,#4962; Towed to Jersey City,
Cordelia R,C R Price,,Schooner,1872,Bass River,11/18/187,1875,11,18,Cold Spring Inlet North bar,,,,,Stranded,Wood,US,64.3,21.9,5.7,42,,Somers P,Chincotea,"New York,",Adams,4,,0,"$6,000","$1,000",Oysters,2 mile Be,N,N,"#125085, Refloated",
Cordelia R,C R Price,,Schooner,1872,Bass River,12/8/1899,1899,12,8,Great Egg LSS WSW .75 mi,,,,,Stranded,Wood,US,64.3,21.9,5.7,42,,Somers P,Little Egg,Pleasantv,York,2,,0,"$2,000","$1,000",,Great Egg,N,N,"#125085, Refloated",
Cordelia R,C R Price,,Schooner,1872,Bass River,########,1900,2,16,Great Egg LSS WSW .75 mi,,,,,Stranded,Wood,US,64.3,21.9,5.7,42,,Somers P,Pleasantv,James Riv,York,3,,0,"$2,000",,,,N,N,"#125085, Refloated",
Cordova,Condova,,Schooner,,,5/8/1877,1877,5,8,Cape May,38.9351125,-74.9060053,38-55-47,74-55-00,Grounded,,,,,9,159,150.47,"Bristol, RI","Bristol, RI",Philadelp,Ryan,9,,0,"$3,500",,In ballast,Cape May,Y,N,#4259; Total loss,
Cordula,,,Schooner,,,1867,1867,,,Squan Beach,,,,,Stranded,,,,,,127,,,Philadelp,Providenc,Norton,5,,,,,Coal,,,N,,
Corinne,,,Steamshi,1864,Baltimore,2/28/1877,1877,2,28,Hereford Inlet SE 8 mi,,,,,Hit sunken wreck,,,,,,58,,"New York,","Norfolk, V","New York,",Pitts,5,,0,"$8,500","$13,000",Hydraulic,Hereford,Y,N,#4065; Total loss,
Corinthia,,,Steamshi,1903,,########,1925,10,24,"Salem, NJ",,,,,Burned,,,,,,54,,,,,,7,,0,,,,,,N,#127721,
Corinthos,,N J Goula,Tanker,1963,"Kure, Japa",########,1975,1,31,"Marcus Hook, PA",,,,,Collision,Steel,Liberia,754,106,,10705,,"Monrovia,",Algeria,Marcus H,Gostas Marinos,,,26,,,17 mil gal crude oil,,N,N,#6400915; Refloated 1 year later,
Coriolan,Coriolon,,Bark,1849,"Bremen,",5/18/1854,1854,5,18,Squan Inlet S 3 mi,,,,,Stranded i,Wood,Germany,,,,560,,"Bremen,","Bremen,","New York,",H Woulf,,245,0,,,Passengers & assort,,N,N,Refloated,"Also see ""William Layton"" & ""Montezuma"""
Cornelia,,,,,,1757,1757,,,Cape May,,,,,Sank,,,,,,,,,Philadelp,Gibraltar,Smith,,,3,,,,,Y,N,,
Cornelia M Kingsland,,,Schooner,1880,Greenpor,11/23/189,1895,11,23,Sandy Hook Romer Shoal,,,,,Stranded,Wood,US,55.1,17.3,7.7,39,37.05,Greenpor,Fire Islan,"New York,",Maitland,9,,0,"$1,500",$300,Fish,Sandy Ho,Y,N,#125786; Total loss,
Cornelia Soule,,,Schooner,1885,"Madison,",3/31/1887,1887,3,31,Brigantine LSS ESE 1.5 mi,,,,,Stranded,Wood,US,123.6,31,10,306.25,290.94,New Lond,Baltimore,Cambridg,Francis,6,,0,"$15,000","$2,400",Coal,S Briganti,N,Y,#126324; Partial loss; Refloated,
Cornelius Grinnell (1,,"Grinnell,",Packet shi,1850,East Bosto,1/14/1853,1853,1,14,Squan Beach,,,,,Stranded,,US,172.5,37.2,30,979.6,,"Boston, M","London, E","New York,",Fletcher,,234,0,,,General,Squan Be,N,Y,All saved by LSS crew w/ lifecar; Refloated,
Cornelius Grinnell (1,,Donald M,Barge,1850,East Bosto,11/23/188,1885,11,23,Highland,34.1283442,-117.2086513,40-18.8 N,73-58.4 W,Foundered,,US,172.5,37.2,30,979.6,,New Lond,Newport,"New London, CT",,3,,3,,,170 ton coal,,Y,N,#4830; Total loss,
Cornelius Hargrave,,John F All,Schooner,1889,"Camden,",10/30/189,1890,10,30,Barnegat,39.7649223,-74.2693297,39-47-425,73-55-558,Collision,Wood,US,211.4,45.5,21.5,1401.74,1331.66,"Fall River,",Philadelp,"Fall River,",John F All,10,,0,"$62,000",,2000 ton coal,,Y,Y,"#126583; Near ""Vizcaya""",
Cornell #20,,,Motor ves,1893,,########,1953,1,31,Highlands,35.0525909,-83.1968173,40-25-00,73-55-00,Foundered,,,,,,68,,,,,,,,,,,,,Y,N,#120938; Sank,
Corrotman,,,Barge,1890,,########,1924,9,17,Delaware Bay Browns Shoal,,,,,Foundered,,,,,,334,,,,,,,,,,,,,,N,,
Corsica,,,Schooner,1865,Thomasto,11/27/189,1898,11,27,Atlantic City,,,,,Foundere,Wood,US,191,38.1,23.7,1307,1258,"New York,","Norfolk, V","Boston, MA",,4,,4,,,Coal,,Y,N,#4896; Total loss,
Corvallis,,First Nati,Freighter,1919,"Portland,",########,1925,6,16,Surf City E,34.4271121,-77.5460805,39-39-00,73-13-00,Burned,Wood,US,267.8,49.8,25.6,2992,1724,"Portland, OR",,,,,,0,,,,,Y,N,#218310; sunk as movie prop,
Costa Rica,,Panama R,Brig,1857,Black Roc,1/17/1869,1869,1,17,Squan Be,40.8880388,-73.9891231,40-02-45,74-02-40,Grounded,Wood,,107.7,27.2,10.3,207,,"New York, NY",,"New York,",Cassidy,10,,0,"$10,000",,Hides,,N,N,Refloated,
Counter Point,,Gene De,Yacht mot,1972,"Holland,",7/3/1976,1976,7,3,Strathmere E 8 mi,,,,,Burned,,,68,17.2,8.6,67,54,"West Palm Beach, FL",,,,,,,,,,,,N,#595996,
County of,Freida,R & J Craig,Schooner,1885,"Glasgow,",########,1900,2,12,Squan Beach LSS S 1.25 mi,,,,,Stranded,Iron,England,285.6,42.5,24.3,2160,2011,Edinburgh,Cape Tow,"New York,",F W J Tod,29,,0,"$100,000",,In ballast,Squan Be,N,Y,"#90060; Refloated; Eventually lost in 1916 as ""Freida""",
Courageous,,McAllister,Tug,1926,"Milford, D",########,1953,9,27,Ocean City E 9.5 mi,,,,,Foundered,,,71.1,19.7,8.3,77,,"New York, NY",,,,,,,,,,,Y,N,#226227; Total loss,
Craigneuk,,Earn SS Co,Steamshi,1898,Port Glasg,########,1904,4,27,Brigantine Shoal SE 2.5 mi,,,,,Stranded,Steel,England,314.4,44,20.8,2515,1605,"Leith, Eng","Matanzas,","New York,",Colvin,27,,0,"$200,000","$200,000",Sugar,S Briganti,N,N,#109590; Refloated,
Cranford,,Ashley De,Ferry boat,,,Mar-82,1982,3,,Sea Girt A,40.1320592,-74.0345813,40-07-447,73-56-227,Scuttled,Steel,US,205,,,,,NJ AR,SG,6,,,,,,,,,Y,Y,Had been,See scrapbooks 38 - 43 - Purple Misc
Cremona,,,Bark,1867,"Mystic, CT",5/24/1881,1881,5,24,Point Pleasant LSS E 1.5 mi,,,,,Stranded i,Wood,US,`,,,607.91,,"Boston, M",Marseille,"New York, NY",,13,,,,,In ballast,Point Plea,N,N,#5506; Refloated,
Creole (1852),,,Brig,,,10/23/185,1852,10,23,Delaware Breakwater,,,,,Grounded,,,,,,,,"Ellsworth,","Dighton,",Philadelp,Lord,,,,,,,,Y,N,Broke up,
Creole (1868),,,Steamshi,1862,"Mystic, CT",3/17/1868,1868,3,17,Squan Inl,33.4474607,-112.0736676,40-02-45,74-02-40,Stranded i,Wood,US,194,34,18,1229,1056,"New York,","Havana, C","New York,",King,15,,,,,,,,Y,#4883,
Cretanan,,,Schooner,,,7/4/1865,1865,7,4,Barnegat,39.7649223,-74.2693297,,,,,,,,,,,,"New York, NY",,,5,,0,,,Lime,,,N,,
Cricket,,,Steamboat,,,1847,1847,,,Shrewsbury Inlet,,,,,Foundere,Iron,,,,,,,,,,,,,,,,,,Y,N,Total loss; Closed Shrewsbury Inlet,
Crisis,,,Schooner,1858,"Melville,",1/6/1872,1872,1,6,Sandy Hook,,,,,Burned,,US,,,8,132,,Great Egg,Virginia,"New York, NY",,,,,,,,,,N,"Saved by ""W A Hennessy""",
Croatan,,Eastern Tr,Barge,1901,New Bern,########,1940,10,8,Ship Bott,39.642897,-74.1804159,39-37-18,74-10-30,Foundered,,,175,23.7,15,416,416,"Wilmington, DE",,Freight service,,1,,0,,,,,Y,N,#16777; Total loss,
Crusader (1842),,,Schooner,,,11/8/1841,1841,11,8,Squan Inlet bar,,,,,Struck bar,,,,,,,,Portsmou,"Boston, M","Portsmouth, RI",,1,3,3,,,,,N,N,Sank,
Crusader (1988),,,Tug,,,########,1988,9,23,Sandy Hook,,,,,Sank,,,,,,,,,,,,,,0,,,Barge w/ 13.000 barr,,Y,N,,
Crystal,,Edward C,Motor ves,1909,"St Joseph,",########,1925,6,11,Absecon Inlet S 4 mi,,,,,Burned; S,Wood,,58,13.4,5.6,37,33,Philadelp,Atlantic Ci,Fishing tri,Bruce Bro,2,25,5,"$5,500",,None,,Y,N,#206669,
Crystal Wave,,E S Randle,Sidewhee,1875,Greenpoi,10/29/188,1889,10,29,Delaware,38.9108325,-75.5276699,38-43-185,74-34-045,Collision,Wood,US,203,32,10,777.55,558,Georgeto,"New York,",Washingt,Sam G Ma,13,,0,"$45,000",,,,Y,Y,Both ships sank,
Cuba,,William V,Schooner,1870,St George,1/16/1879,1879,1,16,Ship Bottom LSS E .75 mi,,,,,Stranded,,England,90,28,8.8,144,,"St John, N","Areciba, P","New York,",A O Hutch,6,,0,"$2,700","$9,000",Molasses,Ship Bott,Y,N,#64497; Total loss,
Culloden,74 gun Fri,British Na,Frigate,1776,"Deptford,",1/23/1781,1781,1,23,"Montauk,",41.0359353,-71.9545146,41-4-205,71-57-383,Grounded,Wood,England,170,47,19.9,1659,,,"Newport,",Blockade,Rodney,,,0,,,74 guns; 70 cannons,,Y,N,Small guns salvaged by British,
Custus W Wright,,,Schooner,1871,Drawbrid,########,1905,10,15,Barnegat Inlet NNE .75 mi,,,,,Grounded,,,80.1,26,6,113,107,Perth Am,"New York,","Hampton,",Wooley,4,0,0,"$2,000",,,Barnegat,N,N,#5892; Refloated,
Cutelin Dall 'Orso,,M Dall Ors,Bark,1973,"Sestri, Ital",10/17/187,1879,10,17,Absecon Inlet E .25 mi,,,,,Stranded,,Italy,,,,632,,"Genoa, Ita",Marseille,"New York,",Equesta,14,,0,"$20,000",,In ballast,Absecon #,N,N,Refloated,
Cybele,,,Schooner,,,9/11/1879,1879,9,11,Squan Inlet,,,,,Stranded,,,,,,8,,South Am,Princess B,Toms Rive,Hyers,2,,0,$500,,,Squan Be,N,N,Refloated,
Cyclone,,,Barge,1939,,########,1940,5,10,"Timber Creek, NJ",,,,,Burned,,,,,,84,,,,,,14,,0,,,,,,N,,
Cyclops,,,Tug steam,1878,Toltenvill,7/22/1886,1886,7,22,"Highlands, NJ",,,,,Collision,Wood,US,110.6,22.5,9.6,128.45,64.23,"New York, NY",,,Hennessey,,,,,,,,,N,#125192,
Cygnet,,,Steamshi,1876,,########,1917,12,20,"Shady Side, NJ",,,,,Burned,,,,,,43,,,,,,5,,0,,,,,,N,#125511,
Cynthia,,,Schooner,1906,Vincent C,########,1906,4,20,Sandy Hook Romer Shoal,,,,,Stranded,,,105.5,24.5,11,137,98,Glouceste,"New York,",Fishing se,Jeff Thomas,,,,,,90 bbls mackeral,,N,N,Refloated; Later sank 2/14/1914,
D B Mayhew,,,Schooner,1871,"Bristol, M",5/17/1895,1895,5,17,Barnegat Inlet,,,,,Stranded,,,49.5,15.5,6.6,23.51,22.33,"New York, NY",,,Patterson,6,,0,"$1,000",,Ice,Barnegat,N,N,#6715; Refloated,
D H Bills,China Wr,Daniel Jo,Bark,1861,"Boston, M",3/1880,1880,3,,Delaware Breakwater E 3.5 mi,,,,,Foundere,Wood,England,167,28,18,594,,"Newport,",Chepstow,Wilmingt,Sjobeck,13,,13,,,"China, Salt",,Y,N,Full of china & artifacts,
D H Bisbee,,,Schooner,1866,Damarisc,12/1/1875,1875,12,1,Barnegat SE 30 mi,,,,,In distress,,,85,24.4,8,141,,"Camden,","Para, Braz","New York,",Ellis,,,,,,,,N,N,Partial loss; Towed in,
D H Ingraham,,,Schooner,1874,Stockhol,12/4/1886,1886,12,4,Hereford I,34.8150622,-102.3977036,39-00-48,74-42-00,Stranded; Burned,,,,,,203.19,193.04,"Rockland,","Rockland,",Richmond,James Mu,5,,0,"$8,000","$2,300",Lime,Hereford Inlet,,N,#6821,
D J Whealton (1910),,,Schooner,1875,"Swausgut,",2/5/1910,1910,2,5,Little Beach LSS E 2 mi,,,,,Grounded,Wood,US,63.5,19.8,6,48,35,Chincotea,Chincotea,"Beach Haven, NJ",,3,,0,"$3,000",$900,Lumber,Little Bea,N,N,#6861; Refloated,
D J Whealton (1911),,,Schooner,1875,"Swausgut,",4/7/1911,1911,4,7,Barnegat LSS N 1 mi,,,,,Grounded,Wood,US,63.5,19.8,6,48,35,Chincotea,Cobb Isla,"Barnegat, NJ",,3,,0,"$3,000",$350,Oysters,Barnegat,N,N,#6861; Refloated,
D K Baker,,,Schooner,1883,Port Jeffe,11/27/189,1898,11,27,Sandy Hook SE 120 mi,,,,,Abandon,Wood,US,143.8,33.8,14.7,519.46,493.49,"New York,",Charlesto,New Jersey,,,,,,,Railroad ties,,,N,#157102,
D M Anthony (1881),,,Schooner,1873,"Fall River,",12/27/188,1881,12,27,Sandy Hook LSS NNE 1.5 mi,,,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Taunton,",Baltimore,"Boston, M",Moore,8,,0,"$25,000","$2,500",Coal,Sandy Ho,N,N,#6798; Refloated,
D M Anthony (1883),,,Schooner,1873,"Fall River,",11/13/188,1883,11,13,Hereford Inlet North bar,,,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Taunton,","Boston, M",Philadelp,Moore,7,,0,"$25,000","$5,000",General,Hereford I,N,N,#6798; Refloated,
D M Anthony (1895A),,,Schooner,1873,"Fall River,",1/13/1895,1895,1,13,Sandy Hook Romer Shoal,,,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Boston, M",Philadelp,"Boston, M",Moore,8,,0,"$25,000",,Coal,Sandy Ho,N,N,#6798; Refloated,
D M Anthony (1895B),,,Schooner,1873,"Fall River,",10/10/0189,1895,10,10,Forked River LSS N 1.75 mi,,,,,Stranded,Wood,US,146.7,36.7,15.5,555.91,528.12,"Boston, M","Rockport,",Philadelp,Moore,6,,0,"$12,000","$2,800",Paving sto,Cedar Cre,N,N,#6798; Refloated,
D S Goodell,,,Bark,,,1/16/1856,1856,1,16,Squan Beach,,,,,Stranded,,,,,,,,,Rio de Jan,"New York,",,,,0,,,,,N,N,Refloated 3/10/1856,
D W McLean,,,Schooner,1883,"Norwalk,",3/9/1889,1889,3,9,Hereford Inlet South bar,,,,,Stranded,Wood,US,128.3,29.5,10.5,296.06,281.26,"New York,",Georgeto,"New York,",Hutchinso,6,,0,"$25,000","$3,000",Railroad ti,Hereford I,N,N,#157085; Refloated undamaged,
D W Saunders,,,Schooner,,,1857,1857,,,Squan Beach,,,,,Stranded,,,,,,,,,"Beaufort,","New York,",Cranmer,5,,,"$11,100",,,,Y,N,Broke up,
Daddy's Dream,,Arthur Go,Cabin cruiser,,,########,1987,8,12,Surf City E 1.5 mi,,,,,Burned,Fiberglass,US,44,,,,,,,Pleasure cruise,,4,,0,,,,,Y,N,Sank,
